evn	rus
шиналдивар аракукан  качунадянал, автомобилил тактандячатын	тихо шурша шинами, катились  автомобили
школа илмакталва учэлэптывэ итыва давдывкала татыгача	школа приучала  молодых к преодолению отживших традиций
школаду  Виктор дяги калтакан анӈаниӈин биӈэсинин  алагувулчан	Виктор стал учиться в школе, когда ему было девять с половиной  лет
школаду занятиел умукэнду-дэ тырганиду эвкил этэвуврэ	занятия в школе не прерываются ни на один день
шоколад калтакаван асатканду бучэн,  геван калтакаван — мэнин гачан	половину шоколада он дал девочке, половину  взял себе
шофёр  учивунма эвэски танчан	шофёр передвинул ручку
шофёр автобус амардун овчала сэлэмэлэ бактула эмэчэн	шофёр подошёл к железному баку, который был приделан сзади автобуса
шофёр бикиттукви ючэн	шофёр сошёл со  своего места
шофёр кабинадукви ючэн	шофёр вылез из кабины
шофёр моторва хаваливкандерэн	шофёр заводит мотор
штабту разведчикилдук дукувура алатчэчатын	в  штабе ждали сведений от разведчиков
э! — бэеткэн урунэн, — эдеӈэ тагрэ бисинни	ага! — обрадовался мальчик, — не можешь отгадать
э,  таӈилдыдяӈасун!	конечно, и вы можете почитать!
э, Иван Иванович холоктотви гиркитви аят  харпукатча	да, ловко пошутил Иван Иванович над старым приятелем
э, ая-ты	конечно, хорошо
э, индеривэ хорокивэ ӈалэтви дявачалас,  эр эвки таӈивра	ну, да это не считается, когда живого тетерева руками  поймал
э, таргачин амӈачи бинэ, этэнни бурэ омикитна!	да, с такой  пастью от голода не пропадёшь!
э, таӈилдыдяӈасун	конечно,  и вы можете почитать
э, тыматнэ  илкэдеӈэт	ладно, завтра попробуем
э, чайтывдяӈа-ты	да и чайку нужно попить
э, эр си, ника!	а, это ты, малыш!
э, эр упкатван  би мэнми дялдачав	да, это всё я сам придумал
э, эр-кэ Игорь бисин!	ой, да ведь это  Игорь!
э, ӈинакинӈи секанин хаӈэдерэн	да ведь у собаки  ушко кровоточит
э-мӣ давдадяра	оказывать сопротивление
э-мӣ дёкилды̄ ка̄куттэ	категорически отрицать
э-мӣ турэ̄чивкэн-мӣ	лишить слова
э-мӣ тэде̄вэ гӯнэ	кривлять душой
э-мӣ хавалдяра	сидеть сложа руки
э-мӣ хавалла	отвлечься от дела
э-э! эр-кэ си балдыча, бэе оча бисинни!	ого! вот так вырос ты,  возмужал!
э-э, амакан дэгил-дэ дэгилмэчинтын	да, пожалуй, скоро и птицам  лететь
э-э, экун тар гатактэн!	ах ты, какой он проворный
э-э, экун-ка,  мудурэнин!	ишь, хитрюга!
э-э, эми-вал тар дявавун элэ умукэн	да,  но эта ловушка только одна
э-э, эр си!	а-а,  это ты!
э... э... э...  — дявдяӈадук нуӈан чамбачан	ага... — промычал он вместо ответа
э̄-мӣ?	что делать?
э̄ва гунни?	что ты сказал?
э̄ва гэлэ̄денни?, э̄ва эе̄тчэнни?	что тебе нужно?
э̄ва улгучэ̄нивкӣл?	о чём идёт речь?
э̄ва-да эӈи о̄ра	ничего не поделаешь
э̄да, э̄кун дярин	с какой целью
э̄да?	к чему?
э̄да̄	почему?
э̄да̄ нуӈан горово а̄чин?	что его долго нет?
э̄да̄ си минэ лэгиденни?	за что ты меня ругаешь?
э̄да̄-кэ	зачем же
э̄дянни?	что ты делаешь?
э̄дӯ бидерӣ бэе	тот человек, который живёт здесь
э̄дӯ-та̄дӯ	там и тут
э̄дӯдэ	под рукой
э̄етчэ-мӣ, гэлэ̄де-мӣ	иметь надобность
э̄кта	точка зрения
э̄кун ая тырганӣн!	◊ ну и день!
э̄кун гэлэ̄вдерэн?	что нужно?
э̄кун о̄дяран?	что происходит?
э̄кун о̄ран эдӯ?	что здесь произошло?
э̄кун о̄ран?	что приключилось?
э̄кун о̄ран?	что случилось?
э̄кун тар!	вот ещё!
э̄кун тар?	кто такой?
э̄кун тар?	что это значит?
э̄кун хэгдын	какой большой!
э̄кун-да̄ а̄чин	ничего нет
э̄кун-да̄ эчэ̄ о̄ра	ничего не случилось
э̄кун-да̄ эчэ̄ са̄врэ	ни слуху ни духу
э̄кун-мал	кто-то
э̄кун-мал ӈо̄дяран	чем-то несёт
э̄кун?	да ну!
э̄кунду-вал исквэ бӯ-мӣ	предъявить иск к кому-либо
э̄кундук сӯ тара̄ са̄дерэс?	откуда вы это знаете?
э̄кундук-вал дявулӣ-мӣ	задеть за что-либо
э̄кундӯ	кто
э̄кундӯ дукувча̄?	кем это написано?
э̄кунма-вал бучэ̄вэ илимнак дён-мӣ	почтить чью-либо память вставанием
э̄кунма-вал мэ̄нмэ̄н са̄де-мӣ	знать кого-либо в лицо
э̄кунма-да̄ эвкӣ са̄рэ	он ничего не знает
э̄кунни энӯдерэн?	что у вас болит?
э̄кур дукӯвӯртын?	чьи тетради?
э̄кӯн итын?	в чём дело?
э̄кӯн книган?	чья книга?
э̄кӯн тар?	что это такое?
э̄кӯн-да ая этэ̄н ора, э̄кӯн-да̄ тусака этэ̄н о̄ра	не выйдет никакого толку
э̄кӯнди дукӯдянки?	чем ты пишешь?
э̄кӯнди ӈэ̄лэтчэнни?	ты кого боишься?
э̄кӯндӯ	что
э̄кӯндӯ сӯ ӯрӯндэрес?	чему вы радуетесь?
э̄кӯнма ичэчэ̄с?	ты кого видел?
э̄кӯнма-вал хавалдя-мӣ	работать над чем-либо
э̄кӯнтыкӣ гунни?	ты кому сказал?
э̄кӯнтыкӣ ичэвкэнни?	ты кому показал?
э̄ласа?	в какое время?
э̄ма̄денни?	что ты собираешья делать?
э̄мата̄нэл книгал	всевозможные книги
э̄ридерӣ предложение, э̄ридерӣ гунмувкэ	восклицательное предложение
э̄ридерӣ са̄мэлкӣ	восклицательный знак
э̄рисин-мӣ	подать голос
э̄рисин-мӣ, екэсин-мӣ	подать голос
э̄салва аӣчимнӣ	глазной врач
э̄салдиви ичэт-мӣ	убедиться воочию
э̄салин инямулла	её глаза наполнились слезами
э̄салин хуларгача̄л	◊ глаза налились кровью
э̄саптура а̄чинди	◊ невооружённым глазом
э̄я-да̄ а̄чин мучуран	вернулся с пустыми руками
эва гадяӈас?	чего ты добиваешься?
эва горово каларуллан?	почему она так долго стала готовить пищу?
эва си одячас?	что  ты наделал?
эва эрил турэр гундерэ?  — су ханӈуктадяӈасу	что означают эти слова? — зададите вы вопрос
эва, хогодённи,  этыркэн?! — Митя харпугапчут тэпкэсинчэн	что, запыхался, старик?! — насмешливо  крикнул Митя
эва-ка  олдяӈатын упкатван бинивэр сот хавалдярил?	что же делать тем, которые всю  жизнь очень заняты?
эва-ка си эчэс хавалдяра?	что же ты не работаешь?
эвенкийскэй округ	эвенкийский округ
эвӣлэ̄н	завзятый игрок
эвикэнмэ тагдыми	отнять игрушку
эвин таӈунин — 1:2	счёт  игры — 1:2
эвинды автома̄т	игровой автомат
эвкэ̄ дамгатыра, эвкэ̄ та̄ндерэ	курить воспрещается
эвкӣ балдыдяра дуннэ	бесплодная земля
эвкӣ са̄рэ о̄кӣдӯ	неизвестно, насколько времени
эвкӣ хава̄лла о̄-мӣ	лишиться трудоспособности
эвтэл энумуктын	воспаление лёгких
эвунави си орорви ванни?	зачем ты оленей загубил? 3) расправиться
эвурӣ	склон горы
эвэды азбука	эвенкийская азбука
эвэды турэ̄н	эвенкийский язык
эвэды турэ̄н курсин	курск изучения эвенкийского языка
эвэдывэ турэ̄нмэ са̄лде-мӣ	учиться эвенкийскому языку
эвэдыт	по-эвенкийски
эвэдытчэ-мӣ	говорить по-эвенкийски
эвэнки  Дайван гунмури гэрбичи эмэчэн Иркутскай дагадукин Баргула	эвенк по имени  Дайван пришёл в Баргузин из окрестностей Иркутска
эвэнки  кармандукви ганчави, дамгава урисинчан	эвенк вытащил из кармана трубку,  табак
эвэнки амакадукви сарэн чорвэ байван	эвэнк знал от своего деда о богатстве чёрта
эвэнки гиркиви  гамалчачан, тэгэтчэрилэви гарала нуӈан туктыдэн бэлэчэн	эвенк подхватил  друга и помог ему взобраться на ту ветку, где сам сидел
эвэнки икэдерэн тамурава баканаливи	поёт эвенк про богатую находку
эвэнки икэнмэ икэдерэн: тугэ олломотноливи, тамурава баканави	эвенк песню поёт про рыбу, которую зимой наловил, про богатую находку
эвэнки, урэлдули ӈэнэденэ, коӈномолво, хуламалва диктэлвэ гаран	эвенк,  идя по тайге, набрал чёрных и красных ягод
эвэнкил дюкэрэмэт дагиливкил	эвенки по  льду переправляются через реку
эвэнкил усит дюкэдук иевэн сэли танэ эвенки	вытащили верёвкой  бивни мамонта изо льда
эвӣмнӣл	действующие лица
эвӯтчэ-мӣ	относиться бережно
эда нуӈан таргачикарэ мокарвэ садту балдывкандерэн?	зачем он сажает в саду такие деревья?
эда си  ханӈувундув эчэс гунэ?	почему ты не ответил на мой вопрос?
эда су бензинма ганадерэс?	почему вы едете за  бензином?
эда тарба  кэтэ рельсал?	почему так много рельсов?
эда-ка нуӈартын орорвор бирали эчэтын таста?	почему  же они не погнали своих оленей по реке?
эда-кэ би си дамгатыдяривас эчэв ичэрэ?	почему же я  не видел Вас курящим?
эда-кэ си  суксиллалва гачас? Тарил спиду ургэпчул	зачем ты взял лыжи? Они тебе тяжелы
эда-кэ си  троллейбустула иденни?	а зачем тебе садиться на троллейбус?
эда-кэ си миндулэ эмэнни, миннун-ӈу хавалмудянни?	что же ты пришёл ко мне, хочешь послужить моему делу?
эда-кэ си суксиллалва гачас? — нуӈан  омолгидукви алтасипчут ханӈуктачан	зачем ты взял лыжи? — ласково спросила  она сына
эделӣвэр о̄ра	пока не построили
эделӣвун эчэ̄синэ, нуӈан итыгар о̄ча̄н	не успели мы оглянуться, как он был готов
эделӣтыно̄ра	до тех пор, пока не сделали
эдеӈэ хаваливра	невозможно  работать
эду  авады-вал харги бивэнчэн	тут какой-то негодяй побывал
эду  нуӈан элэкэс чагамкурава ичэчэн	здесь он впервые увидел дуб
эду  потолок мэндун танцорил фигуралтын овчал бичэтын	здесь у самого потолка  были вделаны фигуры танцоров
эду  тандеми эвкэ	здесь курить воспрещается
эду  халтын хивинилла	тут кое-кто и нос повесил
эду балдыдяри яблоня	местная яблоня
эду кэтэ  поездал умунупчэвкил, тарит эду кэтэ рельсал	здесь собирается много  поездов, вот поэтому тут много рельсов
эду митӈи Северит  бултамниӈилин хававэтын ичэдерэс	тут вы видите труд наших охотников Севера
эду упкат, мэрвэр энэл  долчатмудяра, эчэвэ саврэ турэнмэ тагичилчатын	тут все наперебой начали  угадывать неизвестное слово
эду хавалдявки илэ — диктор гэрбичи	здесь был служащий —  диктор
эду хавалилнадукви дялаӈалча  бисинни	ты здесь из-за своей работы похудел
эду хактырамама	здесь очень темно
эду харанагэт, аякакун эду	давайте  поставим чум здесь, здесь очень хорошо
эду элэкэсипты нимӈакан манавран	тут первая сказка кончилась
эду-ты,  си, сулаки, минду тагадяӈас	тут-то ты, лиса, и попадёшься мне
эдувэр  радио мигдылчэн, аят долдывчан...	тут заработало радио и отчётливо  послышалось...
эдувэр  эр Максим ванэви гача	здесь вот Максим подобрал добычу
эдувэр даригидагит  багдамал умӈэтыл дэгрэ	тут со всех сторон налетели чайки
эдувэр сагды чагамкура эчэн маӈичара, чикитачан	тут старый дуб не выдержал и проскрипел
эдувэр юктэ дуннэдук юдерэн	тут ключ из-под земли  бьёт
эдук	с этих пор
эдук  этэкэл хуктыктэдеми, ӈинакир синэ, муннуканмэ, каситчара	впредь не бегай, а  то собаки тебя, зайца, разорвут
эдук  ӈэлэтчэчэс?! — сот ханӈуктаран Александр Евгеньевич	чего же ты боялся?! —  воскликнул Александр Евгеньевич
эдук гороко̄кӯн	отсюда довольно далеко
эдук му  дёлолтыки ларгилирин долчачивдяӈа бичэн	отсюда можно было слушать говор  воды и камней
эдуквэр дюлэски илэ меванман дапчулатчэрил фотографиял  газеталду этэдеӈэтын печатавдями	больше в газетах не будут печатать  фотографии, от которых сжимается сердце
эды̄в, этыркэ̄нми	мой супруг
эды̄лэ-мӣ, мирэн-мӣ	выйти замуж
эды̄лэ̄-мӣ, мирэ̄н-мӣ	выйти замуж
эды̄лэ̄чэ̄ би-мӣ	состоять в браке
эдыллэн	поднялся ветер
эдылэ̄вкэ̄н-мӣ,	выдать замуж
эдылэ̄вкэ̄нде-мӣ,	выдавать замуж
эдын	ток воздуха
эдын  этэӈкин эдындеми, хадун нян сотмарит эдылиӈкин	ветер то стихал, то  поднимался с новой силой
эдын амартыкин чукал марканивкил	вслед  ветру гнутся травы
эдын дарискитанэ  умунтэгинди эӈэсит эдыниливки	ветер расстилается во все стороны почти с  одинаковой силой
эдын нуӈанман баргиски амутва тасисинан	ветер  погнал её к другому берегу озера
эдын нуӈанман баргиски амутва тасисинан	ветер погнал её к другому берегу озера
эдын нюнӈун баллил бичэн	ветер в шесть баллов
эдын панчаравэ эдынмудерэн, панчара  эдынмувдерэн	ветер камыш колышет, камыш качается
эдын сомат эдындечэн, нуӈанӈилван упкатван капкарван, хуркалван дэвуча  бичэн	ветер разыгрался и засыпал все капканы и ловушки
эдындерэн	ветер дует
эдынди хоролдёрӣ хургикӣт	ветряная мельница
эдынкэ̄кӯн, кургэкӯн	сильный ветер
эдыр  чукалва югтыки матавкил	ветры наклоняют траву на юг
эдычӣ тырганӣ, эдычӣ инэӈи	ветреная погода
эдэкэсмэмэ	на первых порах
эдям тыкин?	что же я теперь буду делать?
эдян-ка, су аява итыва одавэр дялдас!	что же, вы  решили делать доброе дело!
эдянни си, ама! экун-ка эру минду одяӈаӈин?	да что  ты, папа! что со мной может случиться?
эдяран эр аси?	что делает эта женщина?
эдячас таду?	что  ты там делал?
эдяӈав-ка би синэ?	что же мне с тобой делать?
эдяӈасун  дюгава?	что вы будете делать летом?
эдӯ буруилкан бисим	это моя вина
эдӯ-дэ̄ эрӯ бидерэн!	в этом-то и беда!
эдӯ-дэ̄, э̄кунди-да̄ эвкӣ гайка̄ндерэ	здесь нечему удивляться
эе каӈкит тынудяридин тэму эвунки хоролисинчан	под  стремительным напором течения, плот круто развернулся
эе тала  сомама каӈкимама	там очень быстрое течение
эе̄-мӣ	идти ко дну
эе̄тчэ-мӣ турэ̄ттэ̄ви	просить слова
эе̄тчэрӣлӣсун, гэлэ̄дерӣлӣсун	по вашему желанию
эе̄тчэрӣлӣвӣ о̄дя-мӣ, гэлэ̄дерӣлӣвӣ о̄дя-мӣ	действовать по своему усмотрению
эе̄чивӯнмэ бӯрӣ	подача заявления
эен хексалду нуӈанман вамчэ	течение могло разбить его о скалы
эимкӯн индустрия	лёгкая индустрия
экинтын нюрилва  унэвсимиду чакилчан, ирэктэл дагачандутын нэрэн	одна из сестёр завернула  стрелы в старую матерчатую ткань от чума и положила возле лиственниц
экинтын тыргаксанатын каларудячан	их сестра варила им  обед
эксэктэсик	походное платье
экун  минэ танчан гулэсэгду авунми тэтчэдэв?	и что дёрнуло меня нацепить в селе  шапку?
экун  тар аникта? Аникта — тар чука	что такое клевер? Клевер — это трава
экун дярин	для чего
экун о̄дяран?	что здесь творится?
экун оран институтту?	что произошло в институте?
экун оран?	что случилось?
экун синду оран?	что  с тобой случилось?
экун тар, би  харпукатчав	что же, я пошутил
экун тарба кэтэ оллол!	вот  до чего много рыбы!
экун таргачин кандарипчу!	вот какая  надоедливая!
экун,  бэеткэн, жетон тагавран?	что, мальчик, застрял жетон?
экун, нэкэ,  каравсипчу, — этыркэн нуӈандин инектэӈкин	что, брат, совестно, — шутил над ним  старик
экун-да харги?	что за чёрт?
экун-да этэн ора	ничего не выйдет
экун-ка тыматнэ одян?	но что будет завтра?
экун-ка, тэде, овдяӈа?	что же  всё-таки делать?
экун-мал коӈномо мигдымэт, пасонди-да увгадук лопорочон	что-то  чёрное с шумом и треском вырвалось из лунки
экун-мал нуӈарватын угигит танэн	их  что-то дёрнуло сверху
экун-мал сома бира баргидалан  бэюрвэ дагивкандечан	что-то важное заставляло диких оленей перебираться на  другую сторону реки
экун-мал хэгды, сома бира баргидалан бэюрвэ дагивкандечан	что-то большое, важное заставляло оленей перебираться на другую сторону реки
экуннун-мал элэ̄кинди улгучэ̄мэтчэ-мӣ	говорить с кем-либо по душам
экэл ва̄рэ!	пощади!
экэл гундерэ, упкат эделӣтын эмэрэ	подожди говорить, пока все не пришли
экэл дюлэ̄скӣ тугӣ о̄ра	впредь этого не делай
экэл кандарра, экэл дарӯлла	не лезь ко мне
экэл!, бэй!*	подожди!
экэллу танэ эду!	не курите здесь!
экӯннун улгучэ̄лэ̄тчэнни?	с кем ты разговариваешь?
элбэксэчивун бассейн	плавательный бассейн
электрическай  лампа дегдэдерэн	электрическая лампа светит
электрическайду лампочкатыкинду дылача хаканин ӈэридерэн	в  каждой электрической лампочке светит капелька солнца
электричество нуллан	он включил электричество
электричестводы батарея	электрическая батарея
электричестводы лампака̄н	электрическая лампочка
элкэсмэмэ	первым долгом
элкэт эмэ̄н-мӣ	оставить в покое
элтын бакавра?	что нашлось?
элэ  умукин велика хактырапчуду авдукандуви маӈичадяна дочадячан	одна только ласточка  терпеливо сидела в своей норке
элэ ичэскэл!	взгляни сюда!
элэ каптума  лалбука дёлолду балдычан	только тощий мох рос на камнях
элэ площадьва дагми-нун, омактал гулэл  тулигидэдутын одяӈас	стоило только перейти площадь и ты — во дворе новых домов
элэ умукэнмэ одяӈа очан: бэюр бира дулинман эделитын иста,  дагкитва дурумнэк эенми	остался один выход: прорваться через переправу  раньше, чем олени достигнут середины реки
элэ эр умукэнмэ муннуканмэ вачавун	мы застрелили только этого одного зайца
элэ̄-тала̄	туда и обратно
элэ̄вӯ гулды̄н	окончательное решение
элэ̄дерӣдӯви частӯ	в любой час
элэ̄дэ̄-мӣ	напрячь все силы
элэ̄дэ̄-мӣ	сделать одолжение
элэ̄дэ̄де-мӣ	напрягать все силы
элэ̄кикэ̄н	меньше; ◊ более или мнее
элэ̄кин улгур (	подробный рассказ
элэ̄кинди	точь-в-точь
элэ̄кинди улгучэ̄кэл	расскажи подробно
элэ̄мэ	совершенно верно
элэ̄мэ̄дӯви	во всю ширь
элэ̄мэ̄тви о̄дя-мӣ, эӈэсие а̄чин бӣми	выбиваться из сил
элэ̄мэ̄тви, элэ̄мэ̄твэр	почти впору
элэ̄мэтви	изо всех сил
элэ̄т гӯнин	окончательный ответ
элэдэ̄-мӣ	проявить упорство
элэдэ̄кэл!	будь добр!
элэдэ̄кэл!	пожалуйста, сделай!
элэдэ̄кэл!, бэдунэ̄кэл!	будь добр!
элэдэкэллу!, бэдунэ̄кэллу!	будьте добры!
элэкин о̄дяран	приходит пора
элэкин, дюпкэ̄кин	как раз
элэкинди	◊ в достаточной мере
элэкинди эмэ-мӣ	явиться вовремя
элэкинди эмэнни	ты пришёл вовремя
элэксӣв-мӣ, аӣв-мӣ	получать удовольствие
элэксӣде-мӣ	быть довольным
элэкэ̄н	годовалый ребёнок
элэкэн, балды̄макта	грудной ребёнок
элэкэс  эвэнкил эчэтын сарэ мугдэкэрвэ гаткитва	сначала эвенки не знали, как  корчевать пни
элэкэс би гайкачав — тар  экун метро бисин?	сначала я удивлялась — что это значит, метро?
элэкэс би эчэ̄в гунмурэ	я хотел было промолчать
элэкэс ичэмӣ	на первый взгляд
элэкэсӣпты организация	первичная организация
элэкэсипты буква	начальная буква
элэкэсипты ӈанмакта кандарипчут кургинэлчэн	назойливо  зазвенел первый комар
элэкэсиптыду таткитту су татылдяӈасун  он мэрвэр урокилду дявучадавэр	в начальной школе вы будете изучать, как  себя вести на уроках
элэкэсиптыл  ӈанмактал кандарипчут кургинэлчэтын	назойливо зазвенел первый комар
элэкэсиптыл илэл таӈичалчатын митӈидук савдеридук мирдукит хуӈту  мир бисивэн	первобытные люди решили, что есть другой мир, кроме им  известного
элэкэсиптыл илэл эвкилвэ ичэврэ энэсилвэ таӈичантын	вера  первобытных людей в невидимые силы
элэкэсмэмэ	в самом начале
элэкэсмэмэ	первостепенной важности
элэкэсмэмэ	прежде всего
элэкэсмэмэ	◊ в первую очередь
элэкэӈ	грудной ребёнок
элӣ-талӣ гиркутадя-мӣ	ходить взад и вперёд
эман бадерил хавалдяра илэл	саботажники
эми-вал  би-кэ ая одям?	ну а мне-то что предпринять? 10) действовать
эми-вал  дявавун-ка элэ умукэн, кэтэе-гу тарит дявадяӈас	но ведь ловушка только  одна, много ли ею наловишь
эми-вал  муннукаткан тариптыдук аки Сережа дюн тулигидэдун этэчэн бимудеми	но  зайчонок после этого случая жить на дворе у дяди Серёжи больше не захотел
эми-вал  хата-да нуӈан хэгдыт саричанди гунчэн	но всё же он сказал с большим  достоинством
эми-вал хата хуркэкэн ачин бичэн	но мальчишки всё  ещё нет
эми-вал хата-ты нуӈан иду-кэ бисин?	но всё-таки где же он сам?
эми-вал, умукин суруми, хата-да  ӈэливсипчу бичэн	но пускаться в путь одному было всё-таки страшно
эмтыргэрэн, че̄гаран	образовался наст
эмугдэ качестволин	душевные качества
эмугдэду бисӣл энӯмукил	внутренние болезни
эмугдэдӯви	в глубине души
эмугдэтви со̄канан-мӣ	воспрянуть духом
эмэ ме̄лдяра а̄де-мӣ	спать беспробудным сном
эмэ̄нмувкэ̄н-мӣ	заставить остаться
эмэ̄нмукэ̄н-мӣ	велеть оставить
эмэвкэл минду сукэвэ-дэ, халкачанмэ-дэ	принеси  мне топор и молоток
эмэвкэл тар урумкурвэ сераӈилва	принеси те  короткие жерди
эмэвӯды падеж	местный падеж
эмэгин!	пускай придёт!
эмэден-ӈу, эден-ӈу?	придёт ли?
эмэдеӈэв бинэ̄н, эмэдеӈэв бидеӈэн	возможно, я приеду
эмэдэлэ̄в	до приезда
эмэксӣ-мӣ	порываться приехать
эмэксэ, гуним	я вошёл и сказал
эмэми, миндулэ игин	когда явится, пусть пожалует ко мне
эмэмэктэ папиросава гадави барэн, мэнӈиви дамгатыллан	новичок от папиросы  отказался, закурил свою
эмэмэктэл  бригададыдук гулэкэндук хата эчэтын юдерэ	вновь прибывшие всё ещё не  выходили из избушки
эмэмӣ улгучэндеӈэ̄в	приду и расскажу
эмэнэ̄н, энэн	он вряд ли придёт
эмэнэн, эмэчэн, бидеӈэн	может быть, он пришёл
эмэнэн-ӈу, энэ̄н-ӈу	едва ли он придёт
эмэрин ая	к счастью, он пришёл
эмэрэкин, сурурэв	он пришёл, и мы пошли
эмэрэкин-нун	лишь только он вошёл
эмэрэкис, улгучэ̄ндеӈэ̄в	если придёшь, расскажу
эмэчэ̄ бинэ̄н, бо̄ла, бо̄ллага̄	вероятно, он пришёл
эмэчэ̄ бинэ̄н, эмэчэптыкин*	кажется, он пришёл
эмэчэдук поездадук ючэл кэтэ илэл хунатвэ камничатын	девушку потеснила  толпа пассажиров, сошедших с нового поезда
эмӣ-вал	несмотря на
эмӯкэ̄кӯк	совсем одинокий
эне,  дакуяв букэл!	мама, дай мне меховой нагрудник!
эни урунчэдеӈкин хуркэкэн туги савкат карандашит хавалдярилин	мать  радовалась, что мальчик так умело работает карандашом
энин, куӈакан комнататын  такувдяридин сомивча	комната матери и ребёнка закрыта на ремонт
эниндун экун очан?	что случилось с мамой?
энинии уркэвэ тыӈналгачан, элэдэденэ тыӈнавунди эдэви  качутарэ	его мама отперла дверь, стараясь не щёлкнуть замком
энинин  тарелкаду сербавэ уӈкурэн	его мама налила суп в тарелку
энинин Романди этэчэн халдятчами	мать больше не стыдилась за  Романа
энинин балкон уркэвэн ничэн	его мама открыла дверь балкона
энинин куӈакадыва омолгиви  омудяриван тагчан	мать разгадала ребячье желание сына
энинин омолгиви рубашкан  воротникин чакиливнаван айчан	мать поправила подвернувшийся ворот рубашки  сына
энинин омолгиви сундиви аятмарит дасчан	мать  получше прикрыла сына шубой
энинин симумат хавалдяӈкин	мать работала молча
энинин эва таӈнави он-да албачан тылдеми	его мама никак  не могла понять то, что уже прочла
энинми амакан эмэдеӈэн? — Таня  ханӈуктадячан	а моя мама скоро придёт? — продолжала Таня
энинмун нуӈанман халдявканэн	наша мама пристыдила его
энинмун окин-да мунэ эчэн  хэлэкэт камникаттэ	мать наша никогда нас излишне не стесняла
энинтын нуӈарватын давсидячан	мать  начала тормошить их
энинтын нуӈартын дяритын тагивкалвэ дялдача  бичэн	их мама сочинила для них загадки
энтылин радиола ӈэнэктэчэтын  омолгивар сокоривналин тэдэвувунэ будэвэр	его родители ходили на радио,  чтобы дать сообщение о пропаже сына
энӯдукви эчэ̄н хавалла	он не работал по болезни
энуке̄!	ой, больно!
энуккэ̄нде-мӣ	притвориться больным
энукэ̄нде-мӣ	симулировать болезнь
энунигсэ, буглэлигсэ*	мнимый больной
энэ ала̄чиврэ	против ожидания
энэ ала̄чиврэ эмэ-мӣ	застать врасплох
энэ барэ	охотно
энэ до̄дяра дэгрӣ, энэ до̄дяра дэгкӣт	беспосадочный перелёт
энэ до̄дяра рейс	беспосадочный рейс
энэ дэрӯмкӣчэденэ	без отдыха
энэ дялда̄тчэнэ	◊ с маху
энэ имэттэ	в дверях
энэ ичэтчэрэ, энэ до̄лча̄тчэрэ	без внимания
энэ саврэ сокоривран	он пропал без вести
энэ удадяра	без промедления
энэ хэнудерэ, энэ нады̄тчара	без сомнения
энэ эчэ̄синэ	без оглядки
энэ ӈэлэттэ, дамгатыкал	кури спокойно
энэ̄ саврэ ӣлэ сокорив-мӣ	пропасть без вести
энэкив такэн хэргидэдун бидечэн	мои ножны были под  колодой
энэлгэ̄де-мӣ	быть ленивым
энэлэ̄-мӣ	вложить в ножны
энӣн сиӈнинан, энӣн ая̄вунин	материнская любовь
энӣнмӣ	моя мать
энӣнни	твоя мать
энӣнтэ̄де-мӣ	считать матерью
энӣӈэсэ	покойная мать
энӯвкэ̄нде-мӣ	причинить боль
энӯкэ̄ку н	невыносимая боль
энӯкэ̄кӯн	острая боль
энӯливкэ̄нде-мӣ	вызывать болезнь
энӯмук хэгдыгӯрин	обострение болезни
энӯндерӣ эвтэчӣ	лёгочный больной
энӯндерӣвэ ичэчин, бумудерӣвэ караин	уход за больным
энӯнӣл-мӣ	схватить болезнь
эптэл энӯумуктын	воспаление лёгких
эпэнтыдечэн,  тамнадячан-да	моросило, стоял туман
эр  бирали окин-да эчэл ичэрэ илэл мэнӈилвэр икэвурвэ одяӈкитын	об этой реке  сочиняли свои песни даже те, кто её никогда не видел
эр  бумагава дыгинмэнди камнуда̄кэл	склей эту бумагу в четыре слоя
эр  колонналва малахитыт куптучал	эти колонны облицованы малахитом
эр  стол илан халгарин	у этого стола три ножки
эр  тавувчавэ печатадавэр машинала гакаллу	берите этот набор, чтобы печатать, в  машину
эр  чипичавэ дюлавэр гагат	давай эту птицу возьмём домой
эр  эсикэкэн кабинеттукви начальниксун юмэлчэдеӈэн	вот сейчас выбежит из своего кабинета  ваш начальник
эр анӈанӣдӯ	в этом году
эр аякакун  гулэ — манни, дасиптычи	вот хороший дом — прочный и с крышей
эр аямама багдакэткан  бичэн нэмкумэмэ халгачи	это был прехорошенький оленёнок с тоненькими  ножками
эр бичэн боло тыматнэ унэ, му дыримэт тамнаксат  куптучавдяракин	это было ранним осенним утром, когда вода была ещё покрыта  густым туманом
эр бэел бими умунду балдыдяра	эти люди вместе живут
эр бэйӈэ агиды,  манни	это зверь лесной, живучий
эр бэюр бирава дагдяритын  бичэн	это была переправа диких оленей через реку
эр воздух машинат даӈамат хувувчэ  хавалдяран	это работает воздух, сильно накачанный машиной
эр времяду  типография хавалимнин комнатала ичэн	в это время в комнату вошёл работник  типографии
эр времяду разведчикил хэрэлгэн упкаттун, яӈ гугдал элдэӈилдун бивэнчэтын	за  это время разведчики побывали во всей долине и на крутых склонах сопки
эр времяду урэлдук сомамал эдыр эдындевкил, тарил-ты чукалва югтыки  матавкил	в то время с гор дуют сильные ветры, они-то и наклоняют траву на  юг
эр гунмувчэ тэде бисивэн манниндавэр,  примеръя гагат	для подтверждения сказанного приведём пример
